@AppleSupport are the call centres closed for the night?,,,,,,,,,,,,,,,,,COMPLAIN,(OR SUGGEST)
"So @AppleSupport , my iPhone goes black, shows spinner.  GBoard?  I have crash log.  Crash has happened for months.  Send you log?",,,,,,,,,,,,,,,,,,
@AppleSupport @179844 I am having same issue since the update. Have not yet installed 11.0.2 yet however. Should I?,,,,,,,,,,,,,,,,,,
@AppleSupport @115858 my iphone 6 is slow after the new iOs download. Can you help?? I need it to work #iPhone #iOs #download,,,,,,,,,,,,,,,,,,
@AppleSupport iPhone 6s iOS 11.0.2 battery from 79% to 30% in 20 mins? How? Why? How do I get my iOS 10 back? #help #apple,,,,,,,,,,,,,,,,,,
@AppleSupport For what? So that you end up filing my case and keep going about your business? I think this depends on us more than you,,,,,,,,,,,,,,,,,,
@AppleSupport hi wanna run some battery health diagnostics on my phone?,,,,,,,,,,,,,,,,,,
@AppleSupport Hi can you please help me with Developer iTunes Connect issue? The Contact Us link does not work on your website,,,,,,,,,,,,,,,,,,
"W. in. T. holy. F?  how do I undo whatever IOS11 did to my previously useful iPad? @AppleSupport, are there settings for UI revert?",,,,,,,,,,,,,,,,,,
"@AppleSupport Thanks, but is there any way to sort them by year like what it used to be?",,,,,,,,,,,,,,,,,,
@AppleSupport How do I play music albums by year in iOS 11?,,,,,,,,,,,,,,,,,,
@AppleSupport not the actual incoming call ring tone but the ringing sound when I call someone? I am not seeing any way to change that and it's horrific,,,,,,,,,,,,,,,,,,
@AppleSupport downloaded ios11.02 still having issues. Should I just reset while Phone?,,,,,,,,,,,,,,,,,,
@AppleSupport why is my iPhone 7 battery suddenly only last 5 hours? #help #updatessuck #myphonesnotevenayearold,,,,,,,,,,,,,,,,,,
Does @AppleSupport purposely try to destroy ur iPhone w system updates so u buy a new one? Mine is abt as functional as a moto Razr now,,,,,,,,,,,,,,,,,,
@AppleSupport any reason why a lot has of my favorite wallpapers are missing after upgrading to iOS 11?,,,,,,,,,,,,,,,,,,
@AppleSupport IOS 11 is draining out my IPhone 7 battery! Are you doing something about it?Too many malfunctions!,,,,,,,,,,,,,,,,,,
@AppleSupport if i downloaded songs from apple music shouldn't they stay even after my subscription expired?,,,,,,,,,,,,,,,,,,
"@AppleSupport Why should I send a DM? My apps freeze up, my battery drains too fast and when I delete emails and reopen my inbox they have returned",,,,,,,,,,,,,,,,,,
"@AppleSupport I have Apple iPhone 6s, three years old, battery dies fast.  Should I do the upgrade even though I hear it sucks battery life?",,,,,,,,,,,,,,,,,,
Is it my phone or no? This new iOS 11 has my phone lagging @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport how can I check the battery percent of my beats on the new iOS?,,,,,,,,,,,,,,,,,,
"@181230 @AppleSupport same issue here!  Did they give you a fix? I rebooted, same issue.",,,,,,,,,,,,,,,,,,
@181230 @AppleSupport Was that easy?  How did you do that?,,,,,,,,,,,,,,,,,,
@181230 @AppleSupport Tried 11.1 beta 2?,,,,,,,,,,,,,,,,,,
@181230 @AppleSupport Is the phone multitasking fixed?,,,,,,,,,,,,,,,,,,
Can I suggest to @AppleSupport that an option be added for the iPhone X to have battery % displayed up top instead of an icon?,,,,,,,,,,,,,,,,,,
"@AppleSupport my wifes iPhone 8 is hung up, how do I do a hard restart?",,,,,,,,,,,,,,,,,,
"@AppleSupport Hi! excuse me! since the update, my battery is terrible. I see the percentage go lower. Wat can i do about it?",,,,,,,,,,,,,,,,,,
@AppleSupport Hi! sinds de IOS 11 updates is mijn batterij ontzettend snel leeg. Hoe kan dit? hoe kan ik dit verhelpen?,,,,,,,,,,,,,,,,,,
@183381 @AppleSupport Same here. Any updates at all?,,,,,,,,,,,,,,,,,,
"@AppleSupport So to be clear. This red screen warning is a Safari feature, not phishing from the website like the MacKeeper pop ups in the past?",,,,,,,,,,,,,,,,,,
@AppleSupport why does my phone update my emails every time I plug it in to charge?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hours of troubleshoootng resolved the issue. From forums, others had same issue. Very large bug for a new release. QA?",,,,,,,,,,,,,,,,,,
"@AppleSupport When we press volume button pop up comes in middle of the screen for any video we play,iOS11 removed this right?",,,,,,,,,,,,,,,,,,
@AppleSupport why volume pop up still in iOS 11 ?,,,,,,,,,,,,,,,,,,
I think my MacBook got a virus or some shit.. is that possible?? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport I tried that but some of the items (as seen in the photo above) are greyed out and won't add. Why is that?,,,,,,,,,,,,,,,,,,
@AppleSupport do you fancy fixing the bug in IOS 11 where an alarm goes off without any sound? Defeats the whole point of an alarm.,,,,,,,,,,,,,,,,,,
"@AppleSupport Dear @AppleSupport  Since the update (ios11), my battery life is shorter! how is that possible?",,,,,,,,,,,,,,,,,,
Beste @AppleSupport !!! Sinds de update van ios11 is mijn batterij sneller leeg!! Hoe kan dat?,,,,,,,,,,,,,,,,,,
@AppleSupport No use! Can you pls tell me canni degrade back to ios10??,,,,,,,,,,,,,,,,,,
"@AppleSupport my iPhone keeps pocket dialling contacts in my phone, any way of making this stop?",,,,,,,,,,,,,,,,,,
@AppleSupport iPad 3rd gen will be able to accommodate iOS 10.3.5 ?,,,,,,,,,,,,,,,,,,
Sinds de nieuwe IOS kan ik geen apps meer downloaden iemand die mij kan helpen? #apple #IOS @2446 @AppleSupport,,,,,,,,,,,,,,,,,,
With every version of ios11 i have sudden and automatic reboot of My iPhone 6s @AppleSupport how i can solve ? I have to wait for the new version?,,,,,,,,,,,,,,,,,,
@AppleSupport Is there any way to open an mp3 stored in my iCloud drive in Music so that I can listen on my Watch?,,,,,,,,,,,,,,,,,,
"@AppleSupport Will Aperture work on MacOS Sierra, on an early 2009 iMac?",,,,,,,,,,,,,,,,,,
The latest iOS download deleted all of my music from my iPhone.  Anyone else have this issue? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport What exactly would be DM ??,,,,,,,,,,,,,,,,,,
@AppleSupport @184191 I have 2 skip manually the songs on #iOS11 ? What can i do 2 avoid This ?,,,,,,,,,,,,,,,,,,
@AppleSupport should listening to one album on Apple Music take your phone battery from 100% to 30% on the iPhone 6 Plus?,,,,,,,,,,,,,,,,,,
@AppleSupport Of the screen when you look at angle of the display? For the backlight. Almost a 45degree angle. Well mean the edge of the display.,,,,,,,,,,,,,,,,,,
@AppleSupport Is there a list of all apps that are allowed to record my screen like Uber? I want to delete all of them.@115858,,,,,,,,,,,,,,,,,,
@AppleSupport No not using low power mode. Seeing many others having same problem as I am with slow glitchy phone.  When will this update be fixed?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi there, I would like to know the battery health in my iphone, can you guys help me with that?",,,,,,,,,,,,,,,,,,
@AppleSupport how can I allow explicit content in Music permanently? My Apply Music playlist keep missing songs. iOS11 on iPhone SE.,,,,,,,,,,,,,,,,,,
"@AppleSupport The overall performance has been reduced, battery life as well, system constantly slowing down and the phone is heating up a lot. Any ideas?",,,,,,,,,,,,,,,,,,
Where is the auto brightness option in #iOS11 @AppleSupport ?? Do I have to manually increase and decrease the brightness?,,,,,,,,,,,,,,,,,,
@AppleSupport my wifi keeps being toggled on automatically - is this a bug or is there a way to stop this?,,,,,,,,,,,,,,,,,,
@AppleSupport why does the apple update suck so bad? My normally good product is now crap thanks to your update.,,,,,,,,,,,,,,,,,,
@AppleSupport I did my new update now my phone randomly locks and resets itself. Will there be a new update to fix this?,,,,,,,,,,,,,,,,,,
@AppleSupport Any way I can check the overall battery health of my iPhone 6S Plus?,,,,,,,,,,,,,,,,,,
@AppleSupport Is this acceptable to wait 3 weeks for an apple wacht under warranty to get repaired or swapped? Because I think no...,,,,,,,,,,,,,,,,,,
@AppleSupport since the iOS update on my phone my WiFi keeps turning on without being asked. Is it a bug or can I stop it?,,,,,,,,,,,,,,,,,,
@115858 how can this new update cause so many issues?? Having to reset my phone 15 times a day because it freezes is not fun @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport my phone is so fucked after this update. WHHYYY?!!,,,,,,,,,,,,,,,,,,
"@AppleSupport I understood these cables are healthier but isn't it technically possible to make them more durable? My iPhone cable rip twice, also mac too",,,,,,,,,,,,,,,,,,
@AppleSupport Do you know when you will be allowing other service providers in UK to use Apple Watch? Currently only on EE,,,,,,,,,,,,,,,,,,
@AppleSupport what has happened to being able to edit videos in your phone? Pressing to clip and nothing happens? Gradually losing some your simplicity with some of these functions.,,,,,,,,,,,,,,,,,,
@185468 @AppleSupport Two more issues I noticed with iPhone 6s 1-why the WiFi is sometime activated automatically? 2-the brightness is automatically increasing.,,,,,,,,,,,,,,,,,,
"@AppleSupport Why apple removed Mac OS Sierra from purchased on the Mac App Store? High Sierra working very bad, and I don't have dmg file..",,,,,,,,,,,,,,,,,,
"@115858 @AppleSupport seriously guys, what have you done to my phone? Very weird behaviour since updating to #iOS11",,,,,,,,,,,,,,,,,,
@AppleSupport @TMobileHelp @115858 @115911 someone wanna tell me why my iPhone 6s can barely get group sms texts?,,,,,,,,,,,,,,,,,,
@AppleSupport This is a joke. Updated to IOS11 and my battery is drained. What are you doing about it?,,,,,,,,,,,,,,,,,,
@AppleSupport DM ?,,,,,,,,,,,,,,,,,,
@AppleSupport DM is referred to ?,,,,,,,,,,,,,,,,,,
"@applesupport Wow! Updated iOS to 11.0.2 - can deal w/dramatic changes, but the #batterysuck is crazy! 100% to 42% in 2 hrs? #fixit #iphone",,,,,,,,,,,,,,,,,,
"Hey, @AppleSupport, my IPhone is barely a year old and the battery is dreadful! Can you offer any help?",,,,,,,,,,,,,,,,,,
"@AppleSupport why does my iPhone cable intermittently cause my phone to come up with the message, #thisaccessoryisnotsuppotted? #frustrated",,,,,,,,,,,,,,,,,,
.@AppleSupport #iOS11 stopped syncing Podcasts from iTunes on the Mac. Is there something I have to change?Thanks,,,,,,,,,,,,,,,,,,
@AppleSupport I received a questionable email yesterday. Can I email it to you for you to check if it's legit?,,,,,,,,,,,,,,,,,,
@AppleSupport What should I do?,,,,,,,,,,,,,,,,,,
"@AppleSupport iOS 11 is buggy AF! Apps- buggy, Messenger-buggy. Cumbersome home screen swipe menus. Can I go back ? Is this my life now?!",,,,,,,,,,,,,,,,,,
@AppleSupport Ever since ios 11.0.2 my battery has been going down incredibly fast. Something is wrong. Are you releasing a fix for this?,,,,,,,,,,,,,,,,,,
@115858 @AppleSupport why does the alarm clock remain quiet if your volume is all the way down? Fuckin late for work again... arg,,,,,,,,,,,,,,,,,,
@AppleSupport Nobody is available to address this issue? Have sent a DM. Its been 2 weeks. No revert #avoidappleproducts,,,,,,,,,,,,,,,,,,
"The battery on the iPhone 7 has gone shit since the update, it was good, what can I do??? @AppleSupport",,,,,,,,,,,,,,,,,,
@AppleSupport Which means 4 and 5 characters in the 12-digit serial number of the iPhone/iPad? Answer please...,,,,,,,,,,,,,,,,,,
@AppleSupport  how can you remove the volume icon from the control centre when you double click?Autistic son on max volume as it is!@137011,,,,,,,,,,,,,,,,,,
@AppleSupport I get a mini black bar at bottom of my screen and a large black box on right side when on a call?! Fix it please!,,,,,,,,,,,,,,,,,,
.@AppleSupport My iPhone 6 plus automatically updated last night and now several apps don't work. What gives???,,,,,,,,,,,,,,,,,,
Anyone elses iphone7 malfunctioning since apple released ios11? @115858 @AppleSupport good sales tactics...#allplanned,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi, why is it that I cant download IOS OTA? I get an error Message saying failed to download",,,,,,,,,,,,,,,,,,
"@AppleSupport can I connect the Apple TV 4K to a standard HDTV, or will it only work on a 4K TV?",,,,,,,,,,,,,,,,,,
@AppleSupport No I turned it on... but why did it do that?? Get with the program with this iOS... 3rd version I had to download since you upgraded it,,,,,,,,,,,,,,,,,,
"@AppleSupport my mic isnt working with those screenrecord things, how can i fix this?",,,,,,,,,,,,,,,,,,
@AppleSupport ever since I downloaded ios11 my phones been crashing every two minutes whats the crack???,,,,,,,,,,,,,,,,,,
Iphone 6 heats and battery draining very fast after upgrading to ios 11. Is there any fix for this? @115858 @AppleSupport @2310  @115858,,,,,,,,,,,,,,,,,,
@AppleSupport and that was a week ago? Hence why I am trying to contact another way to get it sorted? Is there a phone help line to do it that way?,,,,,,,,,,,,,,,,,,
@AppleSupport Is there a phone line I can call to speed up the process? Getting a bit ridiculous now.,,,,,,,,,,,,,,,,,,
@AppleSupport where to set the carrier account settings by default when ordering iPhone through the Apple store app?,,,,,,,,,,,,,,,,,,
@AppleSupport I am on iOS 11.0.2 but I see my assistive touch control center suddenly disappearing. Could you please help ?,,,,,,,,,,,,,,,,,,
@AppleSupport iOS 11 is so glitchy. What the heck man?,,,,,,,,,,,,,,,,,,
@115948 @AppleSupport any way I can get music downloaded from Apple Music onto my iPod classic please?,,,,,,,,,,,,,,,,,,
"@AppleSupport My ""New Music Mix"" playlist doesn't show under ""For You"" on macOS or iOS...any suggestions?",,,,,,,,,,,,,,,,,,
hey @AppleSupport - my iphone battery is dropping to single digits withing 3 hours of being charged. Can you help figure out why?,,,,,,,,,,,,,,,,,,
"@AppleSupport I've tried on different days from my iPhone SE (ios11), ipad (ios10.3) and laptop. i get the same error. are some debit cards not accepted?",,,,,,,,,,,,,,,,,,
@AppleSupport is it possible to change the sound effect on #AppleWatch for when I get a text message?,,,,,,,,,,,,,,,,,,
"@AppleSupport iOS 11.0.2 on my new iPhone 8 plus=LAGGY/stuttering, draining like crazy, and taking HOURS to charge. What is going on?",,,,,,,,,,,,,,,,,,
@AppleSupport what the hell has the latest IOS 11.0.2 done to my phone? It has frozen 6 times today! Nothing but reboot fixes it #iOS11,,,,,,,,,,,,,,,,,,
"@AppleSupport since updating my phone to ios1102, my phone keeps randomly turning off?!",,,,,,,,,,,,,,,,,,
"@AppleSupport What happens if I gift someone a film in iTunes Store to their iTunes login email address, but they already own the film?",,,,,,,,,,,,,,,,,,
"@AppleSupport With the latest update, why am I unable to go back and read older messages ?",,,,,,,,,,,,,,,,,,
@AppleSupport Is there anyway I can go back to IOS 10 ?,,,,,,,,,,,,,,,,,,
@AppleSupport Power button plus volume down button did the trick. Rebooted. Who knew?,,,,,,,,,,,,,,,,,,
@AppleSupport will you guys plz reply?,,,,,,,,,,,,,,,,,,
@AppleSupport So the update made it to were I have to go to settings to properly turn on and off the WiFi instead of using control center? :/,,,,,,,,,,,,,,,,,,
@AppleSupport Is there anyway to stop my WiFi from ALWAYS being on besides going into settings and turning it off?,,,,,,,,,,,,,,,,,,
@AppleSupport where is the free app of the week in the Appstore??,,,,,,,,,,,,,,,,,,
"Hey @AppleSupport why is my WiFi and Bluetooth turning on auto? iOS 11, iPhone 7+",,,,,,,,,,,,,,,,,,
@SpotifyCares @AppleSupport iPhone is showing wrong song when phone is locked and playing music on Spotify. Phone or Spotify issue?,,,,,,,,,,,,,,,,,,
